OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;USTRZUSTAND;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
1;01210308125013512021;01;0;54;165;2021;03;07;2;2;8;1;0;2;0;1;0;0;0;0;483995.394383990205824;6069091.089339181780815;8.751233225000021;54.768786524000063
2;01210608134013112021;01;0;02;000;2021;06;15;3;3;2;6;0;0;0;1;0;0;0;0;573010.098060709424317;6020090.876354970037937;10.122558347000052;54.323450168000079
3;01210610181013902021;01;0;61;007;2021;06;13;5;3;8;6;0;0;1;0;0;0;0;1;527231.388501240871847;5972658.255789350718260;9.414456907000044;53.901644518000069
4;01210524161013132021;01;0;53;041;2021;05;11;2;3;0;6;0;0;1;0;0;0;0;0;614902.973624786362052;5963896.514101063832641;10.745101073000058;53.810912932000065
5;01210529152013382022;01;0;55;032;2021;05;15;7;3;5;2;0;0;1;1;0;0;0;0;617331.180263186804950;5996138.282804258167744;10.794357030000072;54.100018150000039
6;01210409152013282021;01;0;03;000;2021;04;13;6;2;2;6;0;0;0;1;0;0;0;0;609163.795643429271877;5970592.062119096517563;10.660356829000023;53.872304519000068
7;01210512171013412021;01;0;56;037;2021;05;14;4;3;8;3;0;0;1;1;0;0;0;0;540082.958405476994812;5947624.889663001522422;9.606789791000040;53.675816975000032
8;01210325105132862021;01;0;56;043;2021;03;06;5;3;5;3;0;0;1;1;0;0;0;0;555471.603000002913177;5943955.563999766483903;9.839069558000062;53.641432334000058
9;01210331134013182021;01;0;02;000;2021;03;15;4;3;3;6;0;0;0;1;0;0;1;0;573426.028307293541729;6017834.649752423167229;10.128397204000066;54.303116730000056
10;01210126145013622021;01;0;58;053;2021;01;15;3;3;2;2;0;0;0;1;0;0;0;0;568168.847148401662707;6011253.020912211388350;10.046122237000077;54.244702795000080
11;01210226161013462021;01;0;53;100;2021;02;07;6;3;5;3;0;0;1;1;0;0;0;0;616970.821000061929226;5951568.188999695703387;10.771821508000073;53.699694664000049
12;01210517134013832021;01;0;57;027;2021;05;10;2;3;5;3;0;0;0;1;0;1;0;0;605271.498550014570355;6012747.085570614784956;10.615819595000062;54.251841173000059
13;01210418161013702021;01;0;62;092;2021;04;18;1;2;9;1;0;0;0;0;0;1;0;0;587550.611364011652768;5969811.686419863253832;10.331512299000053;53.869388932000049
14;01210114134013212021;01;0;02;000;2021;01;12;5;3;2;6;0;1;0;1;0;0;0;0;574879.882670021615922;6018500.802791219204664;10.150901813000075;54.308891504000030
15;01210421134013032021;01;0;57;045;2021;04;10;4;3;5;3;0;0;0;1;0;0;0;0;592835.977742570452392;6008394.015501046553254;10.423668586000076;54.215136569000038
16;01210508134013482021;01;0;57;009;2021;05;12;7;2;5;3;0;0;0;1;0;1;0;0;596520.728000023402274;6000254.401999779045582;10.477545291000069;54.141324254000040
17;01210107161013842021;01;0;62;088;2021;01;04;5;3;8;7;2;2;0;0;0;0;0;1;582797.339019134640694;5938953.984282612800598;10.250981425000077;53.592876646000036
18;01210210181013062021;01;0;61;041;2021;02;13;4;3;5;3;0;1;0;1;0;0;0;0;539629.432396203279495;5966342.780341304838657;9.602327080000066;53.844083916000045
19;01210215134013482021;01;0;57;007;2021;02;11;2;3;8;1;0;1;0;1;0;0;0;0;607826.029000040143728;6016405.595999764278531;10.656328882000025;54.284176569000067
20;01210612125013852021;01;0;54;118;2021;06;19;7;3;8;1;0;0;0;1;0;0;0;0;508407.667843267321587;6038081.797901997342706;9.129794310000023;54.490292229000033
21;01210603171013762021;01;0;56;043;2021;06;17;5;3;0;6;0;1;0;1;0;0;0;1;553996.468936233781278;5945528.999097116291523;9.817032373000075;53.655727922000040
